"Source:","C:\Users\Walter\Documents\GitHub\KosmoTuringMachine\TuringMain\TuringMain.kicad_sch"
"Date:","6/17/2022 11:51:15 AM"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","108"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","SKU","Vendor"
"","","LENGTH1","ALPS-SRBV","TuringFront-eagle-import:ALPS-SRBV","TuringFront:ALPS-SRBV","","",""
"","","NOISE-OUT1","THONKICONNNEW","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"","","PULS1","LED5MM","ao_symbols:LED_green","ao_tht:LED_D5.0mm","~","A-1553","Tayda"
"","","PULSE_OUT1","THONKICONNNEW","ao_symbols:AudioJack2","ao_tht:Jack_6.35mm_PJ_629HAN","~","A-1121","Tayda"
"","","PULSES1","MA08-2","busboard-cache:Connector_Generic_Conn_02x08_Odd_Even","Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical","","",""
"","","R1","2.2k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R2","15k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R3","68k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R4","2.2k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R5","51k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R6","2.2k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R7","470k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R8","2.2k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R9","15k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R10","100k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R11","100k","TuringFront-eagle-import:RESISTOR7MM","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","",""
"","","R12","10k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R13","2.2k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R14","2.2k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R15","2.2k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R16","2.2k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R17","2.2k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R18","1k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R19","1k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R20","3.3k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R21","2.2k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R22","100k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R23","10k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R24","47k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R25","100k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R26","5.1k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R27","1.6k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R28","1.6k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R29","100k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R30","10k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R31","470k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R32","1k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R33","10k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R34","10k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
"","","R35","10k","ao_symbols:R","ao_tht:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","","Tayda"
